============================================================
  layers = 50
  regime = rich
  lr     = 0.01
  steps  = 20000
============================================================
Loading cached features: outputs/train_features.pt
Loading cached features: outputs/val_features.pt
Model: 50 layer(s), regime=rich
  First layer shape: (100, 2048)
  Initial effective rank: 97.60
Step 4066/20000 | Val Acc 86.82% | Rank 95.86
Step 4104/20000 | Val Acc 86.82% | Rank 95.86
Step 4142/20000 | Val Acc 86.82% | Rank 95.86
Step 4180/20000 | Val Acc 86.82% | Rank 95.86
Step 4218/20000 | Val Acc 86.82% | Rank 95.86
Step 4256/20000 | Val Acc 86.82% | Rank 95.86
Step 4294/20000 | Val Acc 86.82% | Rank 95.86
Step 4332/20000 | Val Acc 86.82% | Rank 95.86
Step 4370/20000 | Val Acc 86.82% | Rank 95.86
Step 4408/20000 | Val Acc 86.82% | Rank 95.86
Step 4446/20000 | Val Acc 86.82% | Rank 95.86
Step 4484/20000 | Val Acc 86.82% | Rank 95.86
Step 4522/20000 | Val Acc 86.82% | Rank 95.86
Step 4560/20000 | Val Acc 86.82% | Rank 95.86
Step 4598/20000 | Val Acc 86.82% | Rank 95.86
Step 4636/20000 | Val Acc 86.82% | Rank 95.86
Step 4674/20000 | Val Acc 86.82% | Rank 95.86
Step 4712/20000 | Val Acc 86.82% | Rank 95.86
Step 4750/20000 | Val Acc 86.82% | Rank 95.86
Step 4788/20000 | Val Acc 86.82% | Rank 95.86
Step 4826/20000 | Val Acc 86.82% | Rank 95.86
Step 4864/20000 | Val Acc 86.82% | Rank 95.86
Step 4902/20000 | Val Acc 86.82% | Rank 95.86
Step 4940/20000 | Val Acc 86.82% | Rank 95.86
Step 4978/20000 | Val Acc 86.82% | Rank 95.86
Step 5016/20000 | Val Acc 86.82% | Rank 95.86
Step 5054/20000 | Val Acc 86.82% | Rank 95.86
Step 5092/20000 | Val Acc 86.82% | Rank 95.86
Step 5130/20000 | Val Acc 86.82% | Rank 95.86
Step 5168/20000 | Val Acc 86.82% | Rank 95.86
Step 5206/20000 | Val Acc 86.82% | Rank 95.86
Step 5244/20000 | Val Acc 86.82% | Rank 95.86
Step 5282/20000 | Val Acc 86.82% | Rank 95.86
Step 5320/20000 | Val Acc 86.91% | Rank 95.86
Step 5358/20000 | Val Acc 86.91% | Rank 95.86
Step 5396/20000 | Val Acc 86.91% | Rank 95.86
Step 5434/20000 | Val Acc 86.91% | Rank 95.86
Step 5472/20000 | Val Acc 86.91% | Rank 95.86
Step 5510/20000 | Val Acc 86.91% | Rank 95.86
Step 5548/20000 | Val Acc 86.91% | Rank 95.86
Step 5586/20000 | Val Acc 86.91% | Rank 95.86
Step 5624/20000 | Val Acc 86.91% | Rank 95.86
Step 5662/20000 | Val Acc 86.91% | Rank 95.86
Step 5700/20000 | Val Acc 86.91% | Rank 95.86
Step 5738/20000 | Val Acc 86.91% | Rank 95.86
Step 5776/20000 | Val Acc 86.91% | Rank 95.86
Step 5814/20000 | Val Acc 86.91% | Rank 95.86
Step 5852/20000 | Val Acc 86.91% | Rank 95.86
Step 5890/20000 | Val Acc 86.91% | Rank 95.86
Step 5928/20000 | Val Acc 86.91% | Rank 95.86
Step 5966/20000 | Val Acc 86.91% | Rank 95.86
Step 6004/20000 | Val Acc 86.91% | Rank 95.86
Step 6042/20000 | Val Acc 86.91% | Rank 95.86
Step 6080/20000 | Val Acc 86.91% | Rank 95.86
Step 6118/20000 | Val Acc 86.91% | Rank 95.86
Step 6156/20000 | Val Acc 86.91% | Rank 95.86
Step 6194/20000 | Val Acc 86.91% | Rank 95.86
Step 6232/20000 | Val Acc 86.91% | Rank 95.86
Step 6270/20000 | Val Acc 86.91% | Rank 95.86
Step 6308/20000 | Val Acc 86.91% | Rank 95.86
Step 6346/20000 | Val Acc 86.91% | Rank 95.86
Step 6384/20000 | Val Acc 86.91% | Rank 95.86
Step 6422/20000 | Val Acc 86.91% | Rank 95.86
Step 6460/20000 | Val Acc 86.91% | Rank 95.86
Step 6498/20000 | Val Acc 86.91% | Rank 95.86
Step 6536/20000 | Val Acc 86.91% | Rank 95.86
Step 6574/20000 | Val Acc 86.91% | Rank 95.86
Step 6612/20000 | Val Acc 86.91% | Rank 95.86
Step 6650/20000 | Val Acc 86.91% | Rank 95.86
Step 6688/20000 | Val Acc 86.91% | Rank 95.86
Step 6726/20000 | Val Acc 86.91% | Rank 95.86
Step 6764/20000 | Val Acc 86.91% | Rank 95.86
Step 6802/20000 | Val Acc 86.91% | Rank 95.86
Step 6840/20000 | Val Acc 86.91% | Rank 95.86
Step 6878/20000 | Val Acc 86.91% | Rank 95.86
Step 6916/20000 | Val Acc 86.91% | Rank 95.86
Step 6954/20000 | Val Acc 86.91% | Rank 95.86
Step 6992/20000 | Val Acc 86.91% | Rank 95.86
Step 7030/20000 | Val Acc 86.91% | Rank 95.86
Step 7068/20000 | Val Acc 86.91% | Rank 95.86
Step 7106/20000 | Val Acc 86.91% | Rank 95.86
Step 7144/20000 | Val Acc 86.91% | Rank 95.86
Step 7182/20000 | Val Acc 86.91% | Rank 95.86
Step 7220/20000 | Val Acc 86.91% | Rank 95.86
Step 7258/20000 | Val Acc 86.91% | Rank 95.86
Step 7296/20000 | Val Acc 86.91% | Rank 95.86
Step 7334/20000 | Val Acc 86.91% | Rank 95.86
Step 7372/20000 | Val Acc 86.91% | Rank 95.86
Step 7410/20000 | Val Acc 86.91% | Rank 95.86
Step 7448/20000 | Val Acc 86.91% | Rank 95.86
Step 7486/20000 | Val Acc 86.91% | Rank 95.86
Step 7524/20000 | Val Acc 86.91% | Rank 95.86
Step 7562/20000 | Val Acc 86.91% | Rank 95.86
Step 7600/20000 | Val Acc 86.91% | Rank 95.86
Step 7638/20000 | Val Acc 86.91% | Rank 95.86
Step 7676/20000 | Val Acc 86.91% | Rank 95.86
Step 7714/20000 | Val Acc 86.91% | Rank 95.86
Step 7752/20000 | Val Acc 86.91% | Rank 95.86
Step 7790/20000 | Val Acc 86.91% | Rank 95.86
Step 7828/20000 | Val Acc 86.91% | Rank 95.86
Step 7866/20000 | Val Acc 86.91% | Rank 95.86
Step 7904/20000 | Val Acc 86.91% | Rank 95.86
Step 7942/20000 | Val Acc 86.91% | Rank 95.86
Step 7980/20000 | Val Acc 86.91% | Rank 95.86
Step 8018/20000 | Val Acc 86.91% | Rank 95.86
Step 8056/20000 | Val Acc 86.91% | Rank 95.86
Step 8094/20000 | Val Acc 86.91% | Rank 95.86
Step 8132/20000 | Val Acc 86.91% | Rank 95.86
Step 8170/20000 | Val Acc 86.91% | Rank 95.86
Step 8208/20000 | Val Acc 86.91% | Rank 95.86
Step 8246/20000 | Val Acc 86.91% | Rank 95.86
Step 8284/20000 | Val Acc 86.91% | Rank 95.86
Step 8322/20000 | Val Acc 86.91% | Rank 95.86
Step 8360/20000 | Val Acc 86.91% | Rank 95.86
Step 8398/20000 | Val Acc 86.91% | Rank 95.86
Step 8436/20000 | Val Acc 86.91% | Rank 95.86
Step 8474/20000 | Val Acc 86.91% | Rank 95.86
Step 8512/20000 | Val Acc 86.91% | Rank 95.86
Step 8550/20000 | Val Acc 86.91% | Rank 95.86
Step 8588/20000 | Val Acc 86.91% | Rank 95.86
Step 8626/20000 | Val Acc 86.91% | Rank 95.86
Step 8664/20000 | Val Acc 86.91% | Rank 95.86
Step 8702/20000 | Val Acc 86.91% | Rank 95.86
Step 8740/20000 | Val Acc 86.91% | Rank 95.86
Step 8778/20000 | Val Acc 86.91% | Rank 95.86
Step 8816/20000 | Val Acc 86.82% | Rank 95.86
Step 8854/20000 | Val Acc 86.82% | Rank 95.86
Step 8892/20000 | Val Acc 86.82% | Rank 95.86
Step 8930/20000 | Val Acc 86.82% | Rank 95.86
Step 8968/20000 | Val Acc 86.82% | Rank 95.86
Step 9006/20000 | Val Acc 86.82% | Rank 95.86
Step 9044/20000 | Val Acc 86.82% | Rank 95.86
Step 9082/20000 | Val Acc 86.82% | Rank 95.86
Step 9120/20000 | Val Acc 86.82% | Rank 95.86
Step 9158/20000 | Val Acc 86.82% | Rank 95.86
Step 9196/20000 | Val Acc 86.82% | Rank 95.86
Step 9234/20000 | Val Acc 86.82% | Rank 95.86
Step 9272/20000 | Val Acc 86.82% | Rank 95.86
Step 9310/20000 | Val Acc 86.82% | Rank 95.86
Step 9348/20000 | Val Acc 86.82% | Rank 95.86
Step 9386/20000 | Val Acc 86.82% | Rank 95.86
Step 9424/20000 | Val Acc 86.82% | Rank 95.86
Step 9462/20000 | Val Acc 86.82% | Rank 95.86
Step 9500/20000 | Val Acc 86.82% | Rank 95.86
Step 9538/20000 | Val Acc 86.82% | Rank 95.86
Step 9576/20000 | Val Acc 86.82% | Rank 95.86
Step 9614/20000 | Val Acc 86.82% | Rank 95.86
Step 9652/20000 | Val Acc 86.82% | Rank 95.86
Step 9690/20000 | Val Acc 86.82% | Rank 95.86
Step 9728/20000 | Val Acc 86.82% | Rank 95.86
Step 9766/20000 | Val Acc 86.82% | Rank 95.86
Step 9804/20000 | Val Acc 86.82% | Rank 95.86
Step 9842/20000 | Val Acc 86.82% | Rank 95.86
Step 9880/20000 | Val Acc 86.82% | Rank 95.86
Step 9918/20000 | Val Acc 86.82% | Rank 95.86
Step 9956/20000 | Val Acc 86.82% | Rank 95.86
Step 9994/20000 | Val Acc 86.82% | Rank 95.86
Step 10032/20000 | Val Acc 86.82% | Rank 95.86
Step 10070/20000 | Val Acc 86.82% | Rank 95.86
Step 10108/20000 | Val Acc 86.82% | Rank 95.86
Step 10146/20000 | Val Acc 86.82% | Rank 95.86
Step 10184/20000 | Val Acc 86.82% | Rank 95.86
Step 10222/20000 | Val Acc 86.82% | Rank 95.86
Step 10260/20000 | Val Acc 86.82% | Rank 95.86
Step 10298/20000 | Val Acc 86.82% | Rank 95.86
Step 10336/20000 | Val Acc 86.82% | Rank 95.86
Step 10374/20000 | Val Acc 86.82% | Rank 95.86
Step 10412/20000 | Val Acc 86.82% | Rank 95.86
Step 10450/20000 | Val Acc 86.82% | Rank 95.86
Step 10488/20000 | Val Acc 86.82% | Rank 95.86
