============================================================
  layers = 5
  regime = rich
  lr     = 0.2
  steps  = 20000
============================================================
Loading cached features: outputs/train_features.pt
Loading cached features: outputs/val_features.pt
Model: 5 layer(s), regime=rich
  First layer shape: (100, 2048)
  Initial effective rank: 97.62
Step 38/20000 | Val Acc 82.57% | Rank 97.51
Step 76/20000 | Val Acc 85.99% | Rank 97.27
Step 114/20000 | Val Acc 83.82% | Rank 96.42
Step 152/20000 | Val Acc 75.40% | Rank 94.69
Step 190/20000 | Val Acc 85.57% | Rank 92.10
Step 228/20000 | Val Acc 88.49% | Rank 87.80
Step 266/20000 | Val Acc 87.24% | Rank 83.66
Step 304/20000 | Val Acc 89.57% | Rank 80.27
Step 342/20000 | Val Acc 82.65% | Rank 75.32
Step 380/20000 | Val Acc 86.99% | Rank 66.31
Step 418/20000 | Val Acc 88.32% | Rank 59.97
Step 456/20000 | Val Acc 89.32% | Rank 53.88
Step 494/20000 | Val Acc 90.33% | Rank 47.32
Step 532/20000 | Val Acc 89.07% | Rank 42.82
Step 570/20000 | Val Acc 86.82% | Rank 40.04
Step 608/20000 | Val Acc 89.91% | Rank 38.57
Step 646/20000 | Val Acc 86.57% | Rank 35.93
Step 684/20000 | Val Acc 87.57% | Rank 34.15
Step 722/20000 | Val Acc 83.65% | Rank 32.18
Step 760/20000 | Val Acc 88.49% | Rank 29.40
Step 798/20000 | Val Acc 83.32% | Rank 28.25
Step 836/20000 | Val Acc 83.99% | Rank 25.36
Step 874/20000 | Val Acc 86.91% | Rank 24.18
Step 912/20000 | Val Acc 85.74% | Rank 22.84
Step 950/20000 | Val Acc 90.08% | Rank 22.21
Step 988/20000 | Val Acc 88.57% | Rank 21.34
Step 1026/20000 | Val Acc 88.91% | Rank 20.91
Step 1064/20000 | Val Acc 91.91% | Rank 20.42
Step 1102/20000 | Val Acc 88.91% | Rank 19.81
Step 1140/20000 | Val Acc 89.32% | Rank 19.33
Step 1178/20000 | Val Acc 87.41% | Rank 18.62
Step 1216/20000 | Val Acc 90.91% | Rank 17.94
Step 1254/20000 | Val Acc 77.65% | Rank 17.50
Step 1292/20000 | Val Acc 91.49% | Rank 17.18
Step 1330/20000 | Val Acc 88.66% | Rank 16.64
Step 1368/20000 | Val Acc 87.41% | Rank 16.27
Step 1406/20000 | Val Acc 86.32% | Rank 15.96
Step 1444/20000 | Val Acc 88.41% | Rank 15.65
Step 1482/20000 | Val Acc 87.82% | Rank 15.38
Step 1520/20000 | Val Acc 91.33% | Rank 14.88
Step 1558/20000 | Val Acc 86.82% | Rank 14.72
Step 1596/20000 | Val Acc 84.15% | Rank 14.53
Step 1634/20000 | Val Acc 87.32% | Rank 14.43
Step 1672/20000 | Val Acc 89.82% | Rank 14.05
Step 1710/20000 | Val Acc 86.99% | Rank 13.79
Step 1748/20000 | Val Acc 85.24% | Rank 13.76
Step 1786/20000 | Val Acc 84.24% | Rank 13.63
Step 1824/20000 | Val Acc 88.41% | Rank 13.61
Step 1862/20000 | Val Acc 88.82% | Rank 13.59
Step 1900/20000 | Val Acc 89.99% | Rank 12.80
Step 1938/20000 | Val Acc 80.65% | Rank 12.51
Step 1976/20000 | Val Acc 83.82% | Rank 12.08
Step 2014/20000 | Val Acc 85.65% | Rank 11.98
Step 2052/20000 | Val Acc 85.07% | Rank 11.93
Step 2090/20000 | Val Acc 88.82% | Rank 11.69
Step 2128/20000 | Val Acc 74.98% | Rank 11.41
Step 2166/20000 | Val Acc 84.74% | Rank 11.11
Step 2204/20000 | Val Acc 84.74% | Rank 11.00
Step 2242/20000 | Val Acc 80.82% | Rank 10.89
Step 2280/20000 | Val Acc 84.74% | Rank 10.76
Step 2318/20000 | Val Acc 86.82% | Rank 10.73
Step 2356/20000 | Val Acc 84.99% | Rank 10.54
Step 2394/20000 | Val Acc 84.40% | Rank 10.37
Step 2432/20000 | Val Acc 86.82% | Rank 10.26
Step 2470/20000 | Val Acc 86.07% | Rank 9.93
Step 2508/20000 | Val Acc 88.32% | Rank 9.66
Step 2546/20000 | Val Acc 84.74% | Rank 9.47
Step 2584/20000 | Val Acc 84.82% | Rank 9.40
Step 2622/20000 | Val Acc 84.82% | Rank 9.35
Step 2660/20000 | Val Acc 80.57% | Rank 9.25
Step 2698/20000 | Val Acc 84.99% | Rank 9.18
Step 2736/20000 | Val Acc 86.74% | Rank 9.18
Step 2774/20000 | Val Acc 87.41% | Rank 9.15
Step 2812/20000 | Val Acc 82.57% | Rank 9.13
Step 2850/20000 | Val Acc 84.49% | Rank 8.94
Step 2888/20000 | Val Acc 84.82% | Rank 8.88
Step 2926/20000 | Val Acc 83.32% | Rank 8.88
Step 2964/20000 | Val Acc 86.57% | Rank 8.84
Step 3002/20000 | Val Acc 83.90% | Rank 8.73
Step 3040/20000 | Val Acc 83.49% | Rank 8.69
Step 3078/20000 | Val Acc 84.90% | Rank 8.66
Step 3116/20000 | Val Acc 87.07% | Rank 8.64
Step 3154/20000 | Val Acc 83.99% | Rank 8.55
Step 3192/20000 | Val Acc 84.90% | Rank 8.52
Step 3230/20000 | Val Acc 86.41% | Rank 8.50
Step 3268/20000 | Val Acc 89.66% | Rank 8.42
Step 3306/20000 | Val Acc 88.49% | Rank 8.16
Step 3344/20000 | Val Acc 78.98% | Rank 8.06
Step 3382/20000 | Val Acc 86.99% | Rank 8.04
Step 3420/20000 | Val Acc 82.90% | Rank 7.98
Step 3458/20000 | Val Acc 85.15% | Rank 7.96
Step 3496/20000 | Val Acc 85.07% | Rank 7.87
Step 3534/20000 | Val Acc 85.99% | Rank 7.82
Step 3572/20000 | Val Acc 87.91% | Rank 7.81
Step 3610/20000 | Val Acc 84.49% | Rank 7.80
Step 3648/20000 | Val Acc 84.82% | Rank 7.80
Step 3686/20000 | Val Acc 82.74% | Rank 7.79
Step 3724/20000 | Val Acc 84.24% | Rank 7.66
Step 3762/20000 | Val Acc 86.66% | Rank 7.64
Step 3800/20000 | Val Acc 87.66% | Rank 7.63
Step 3838/20000 | Val Acc 83.24% | Rank 7.62
Step 3876/20000 | Val Acc 81.40% | Rank 7.58
Step 3914/20000 | Val Acc 77.90% | Rank 7.54
Step 3952/20000 | Val Acc 84.99% | Rank 7.50
Step 3990/20000 | Val Acc 85.24% | Rank 7.49
Step 4028/20000 | Val Acc 85.57% | Rank 7.48
Step 4066/20000 | Val Acc 85.24% | Rank 7.49
Step 4104/20000 | Val Acc 86.74% | Rank 7.49
Step 4142/20000 | Val Acc 84.24% | Rank 7.47
Step 4180/20000 | Val Acc 84.99% | Rank 7.36
Step 4218/20000 | Val Acc 82.15% | Rank 7.28
Step 4256/20000 | Val Acc 85.32% | Rank 7.24
Step 4294/20000 | Val Acc 85.32% | Rank 7.22
Step 4332/20000 | Val Acc 85.82% | Rank 7.18
Step 4370/20000 | Val Acc 85.07% | Rank 7.17
Step 4408/20000 | Val Acc 88.24% | Rank 7.13
Step 4446/20000 | Val Acc 87.24% | Rank 7.11
Step 4484/20000 | Val Acc 85.74% | Rank 7.11
Step 4522/20000 | Val Acc 79.23% | Rank 7.10
Step 4560/20000 | Val Acc 84.15% | Rank 7.00
Step 4598/20000 | Val Acc 83.57% | Rank 6.95
Step 4636/20000 | Val Acc 85.74% | Rank 6.94
Step 4674/20000 | Val Acc 86.91% | Rank 6.92
Step 4712/20000 | Val Acc 87.91% | Rank 6.91
Step 4750/20000 | Val Acc 84.57% | Rank 6.87
Step 4788/20000 | Val Acc 87.74% | Rank 6.86
Step 4826/20000 | Val Acc 85.40% | Rank 6.85
Step 4864/20000 | Val Acc 85.15% | Rank 6.85
Step 4902/20000 | Val Acc 86.57% | Rank 6.85
Step 4940/20000 | Val Acc 86.24% | Rank 6.85
Step 4978/20000 | Val Acc 86.32% | Rank 6.85
Step 5016/20000 | Val Acc 86.41% | Rank 6.85
Step 5054/20000 | Val Acc 86.41% | Rank 6.85
Step 5092/20000 | Val Acc 86.57% | Rank 6.85
Step 5130/20000 | Val Acc 86.49% | Rank 6.85
Step 5168/20000 | Val Acc 86.57% | Rank 6.85
Step 5206/20000 | Val Acc 86.57% | Rank 6.85
Step 5244/20000 | Val Acc 86.57% | Rank 6.85
Step 5282/20000 | Val Acc 86.57% | Rank 6.85
Step 5320/20000 | Val Acc 86.82% | Rank 6.85
Step 5358/20000 | Val Acc 86.74% | Rank 6.85
Step 5396/20000 | Val Acc 86.66% | Rank 6.85
Step 5434/20000 | Val Acc 86.74% | Rank 6.85
Step 5472/20000 | Val Acc 86.66% | Rank 6.85
Step 5510/20000 | Val Acc 86.91% | Rank 6.85
Step 5548/20000 | Val Acc 86.91% | Rank 6.85
Step 5586/20000 | Val Acc 86.91% | Rank 6.85
Step 5624/20000 | Val Acc 86.91% | Rank 6.85
Step 5662/20000 | Val Acc 86.91% | Rank 6.85
Step 5700/20000 | Val Acc 86.66% | Rank 6.85
Step 5738/20000 | Val Acc 86.82% | Rank 6.85
Step 5776/20000 | Val Acc 86.66% | Rank 6.85
Step 5814/20000 | Val Acc 86.66% | Rank 6.85
Step 5852/20000 | Val Acc 86.82% | Rank 6.85
Step 5890/20000 | Val Acc 86.66% | Rank 6.85
Step 5928/20000 | Val Acc 86.66% | Rank 6.85
Step 5966/20000 | Val Acc 86.74% | Rank 6.85
Step 6004/20000 | Val Acc 86.74% | Rank 6.85
Step 6042/20000 | Val Acc 86.74% | Rank 6.85
Step 6080/20000 | Val Acc 86.74% | Rank 6.85
Step 6118/20000 | Val Acc 86.24% | Rank 6.85
Step 6156/20000 | Val Acc 85.57% | Rank 6.83
Step 6194/20000 | Val Acc 87.07% | Rank 6.81
Step 6232/20000 | Val Acc 87.16% | Rank 6.81
Step 6270/20000 | Val Acc 85.74% | Rank 6.81
Step 6308/20000 | Val Acc 85.90% | Rank 6.81
Step 6346/20000 | Val Acc 86.49% | Rank 6.81
Step 6384/20000 | Val Acc 86.41% | Rank 6.81
Step 6422/20000 | Val Acc 85.90% | Rank 6.81
Step 6460/20000 | Val Acc 83.40% | Rank 6.81
Step 6498/20000 | Val Acc 86.16% | Rank 6.81
Step 6536/20000 | Val Acc 86.41% | Rank 6.81
Step 6574/20000 | Val Acc 86.32% | Rank 6.81
Step 6612/20000 | Val Acc 86.24% | Rank 6.81
Step 6650/20000 | Val Acc 86.24% | Rank 6.81
Step 6688/20000 | Val Acc 86.41% | Rank 6.81
Step 6726/20000 | Val Acc 86.32% | Rank 6.81
Step 6764/20000 | Val Acc 86.41% | Rank 6.81
Step 6802/20000 | Val Acc 86.49% | Rank 6.81
Step 6840/20000 | Val Acc 86.49% | Rank 6.81
Step 6878/20000 | Val Acc 86.49% | Rank 6.81
Step 6916/20000 | Val Acc 86.49% | Rank 6.81
Step 6954/20000 | Val Acc 86.57% | Rank 6.81
Step 6992/20000 | Val Acc 86.57% | Rank 6.81
Step 7030/20000 | Val Acc 86.57% | Rank 6.81
Step 7068/20000 | Val Acc 86.57% | Rank 6.81
Step 7106/20000 | Val Acc 86.57% | Rank 6.81
Step 7144/20000 | Val Acc 86.57% | Rank 6.81
Step 7182/20000 | Val Acc 86.57% | Rank 6.81
Step 7220/20000 | Val Acc 86.57% | Rank 6.81
Step 7258/20000 | Val Acc 86.57% | Rank 6.81
Step 7296/20000 | Val Acc 86.57% | Rank 6.81
Step 7334/20000 | Val Acc 86.57% | Rank 6.81
Step 7372/20000 | Val Acc 86.57% | Rank 6.81
Step 7410/20000 | Val Acc 86.57% | Rank 6.81
Step 7448/20000 | Val Acc 86.57% | Rank 6.81
Step 7486/20000 | Val Acc 86.57% | Rank 6.81
Step 7524/20000 | Val Acc 86.57% | Rank 6.81
Step 7562/20000 | Val Acc 86.57% | Rank 6.81
Step 7600/20000 | Val Acc 86.57% | Rank 6.81
Step 7638/20000 | Val Acc 86.57% | Rank 6.81
Step 7676/20000 | Val Acc 86.57% | Rank 6.81
Step 7714/20000 | Val Acc 86.57% | Rank 6.81
Step 7752/20000 | Val Acc 86.57% | Rank 6.81
Step 7790/20000 | Val Acc 86.57% | Rank 6.81
Step 7828/20000 | Val Acc 86.57% | Rank 6.81
Step 7866/20000 | Val Acc 86.57% | Rank 6.81
Step 7904/20000 | Val Acc 86.57% | Rank 6.81
Step 7942/20000 | Val Acc 86.57% | Rank 6.81
Step 7980/20000 | Val Acc 86.57% | Rank 6.81
Step 8018/20000 | Val Acc 86.57% | Rank 6.81
Step 8056/20000 | Val Acc 86.57% | Rank 6.81
Step 8094/20000 | Val Acc 86.57% | Rank 6.81
Step 8132/20000 | Val Acc 86.57% | Rank 6.81
Step 8170/20000 | Val Acc 86.57% | Rank 6.81
Step 8208/20000 | Val Acc 86.57% | Rank 6.81
Step 8246/20000 | Val Acc 86.57% | Rank 6.81
Step 8284/20000 | Val Acc 86.57% | Rank 6.81
Step 8322/20000 | Val Acc 86.57% | Rank 6.81
Step 8360/20000 | Val Acc 86.57% | Rank 6.81
Step 8398/20000 | Val Acc 86.57% | Rank 6.81
Step 8436/20000 | Val Acc 86.57% | Rank 6.81
Step 8474/20000 | Val Acc 86.57% | Rank 6.81
Step 8512/20000 | Val Acc 86.57% | Rank 6.81
Step 8550/20000 | Val Acc 86.57% | Rank 6.81
Step 8588/20000 | Val Acc 86.57% | Rank 6.81
Step 8626/20000 | Val Acc 86.57% | Rank 6.81
Step 8664/20000 | Val Acc 86.57% | Rank 6.81
Step 8702/20000 | Val Acc 86.57% | Rank 6.81
Step 8740/20000 | Val Acc 86.57% | Rank 6.81
Step 8778/20000 | Val Acc 86.57% | Rank 6.81
Step 8816/20000 | Val Acc 86.49% | Rank 6.81
Step 8854/20000 | Val Acc 86.49% | Rank 6.81
Step 8892/20000 | Val Acc 86.57% | Rank 6.81
Step 8930/20000 | Val Acc 86.57% | Rank 6.81
Step 8968/20000 | Val Acc 86.57% | Rank 6.81
Step 9006/20000 | Val Acc 86.49% | Rank 6.81
Step 9044/20000 | Val Acc 86.49% | Rank 6.81
Step 9082/20000 | Val Acc 86.49% | Rank 6.81
Step 9120/20000 | Val Acc 86.57% | Rank 6.81
Step 9158/20000 | Val Acc 86.57% | Rank 6.81
Step 9196/20000 | Val Acc 86.49% | Rank 6.81
Step 9234/20000 | Val Acc 86.49% | Rank 6.81
Step 9272/20000 | Val Acc 86.49% | Rank 6.81
Step 9310/20000 | Val Acc 86.49% | Rank 6.81
Step 9348/20000 | Val Acc 86.49% | Rank 6.81
Step 9386/20000 | Val Acc 86.49% | Rank 6.81
Step 9424/20000 | Val Acc 86.49% | Rank 6.81
Step 9462/20000 | Val Acc 86.49% | Rank 6.81
Step 9500/20000 | Val Acc 86.49% | Rank 6.81
Step 9538/20000 | Val Acc 86.49% | Rank 6.81
Step 9576/20000 | Val Acc 86.57% | Rank 6.81
Step 9614/20000 | Val Acc 86.49% | Rank 6.81
Step 9652/20000 | Val Acc 86.57% | Rank 6.81
Step 9690/20000 | Val Acc 86.49% | Rank 6.81
Step 9728/20000 | Val Acc 86.49% | Rank 6.81
Step 9766/20000 | Val Acc 86.57% | Rank 6.81
Step 9804/20000 | Val Acc 86.57% | Rank 6.81
Step 9842/20000 | Val Acc 86.57% | Rank 6.81
Step 9880/20000 | Val Acc 86.57% | Rank 6.81
Step 9918/20000 | Val Acc 86.57% | Rank 6.81
Step 9956/20000 | Val Acc 86.57% | Rank 6.81
Step 9994/20000 | Val Acc 86.57% | Rank 6.81
Step 10032/20000 | Val Acc 86.57% | Rank 6.81
Step 10070/20000 | Val Acc 86.57% | Rank 6.81
Step 10108/20000 | Val Acc 86.57% | Rank 6.81
Step 10146/20000 | Val Acc 86.57% | Rank 6.81
Step 10184/20000 | Val Acc 86.57% | Rank 6.81
Step 10222/20000 | Val Acc 86.57% | Rank 6.81
Step 10260/20000 | Val Acc 86.57% | Rank 6.81
Step 10298/20000 | Val Acc 86.57% | Rank 6.81
Step 10336/20000 | Val Acc 86.66% | Rank 6.81
Step 10374/20000 | Val Acc 86.57% | Rank 6.81
Step 10412/20000 | Val Acc 86.57% | Rank 6.81
Step 10450/20000 | Val Acc 86.57% | Rank 6.81
Step 10488/20000 | Val Acc 86.57% | Rank 6.81
Step 10526/20000 | Val Acc 86.57% | Rank 6.81
Step 10564/20000 | Val Acc 86.66% | Rank 6.81
Step 10602/20000 | Val Acc 86.66% | Rank 6.81
Step 10640/20000 | Val Acc 86.66% | Rank 6.81
Step 10678/20000 | Val Acc 86.57% | Rank 6.81
